名称,分类,地区,原描述,原字数,新描述(100-200字),备注
中国国家博物馆,博物馆,国内-北京,世界上单体建筑面积最大的博物馆,15,中国国家博物馆前身可追溯至1912年，2003年由中国历史博物馆和中国革命博物馆合并组建，2012年新馆开放。馆藏约143万件，涵盖古代文物、近现代文物与艺术品，藏有后母戊鼎、四羊方尊等顶级国宝。作为代表国家收藏展示中华文化的最高机构，是世界单体建筑面积最大的博物馆。,基于权威资料生成，含历史背景、收藏特色、地位影响
故宫博物院,博物馆,国内-北京,世界上规模最大的木质结构古建筑群,16,故宫博物院建于明清皇宫紫禁城基础上，1925年成立。紫禁城始建于明永乐十八年（1420年），馆藏约191万件（套），珍贵文物超90%，藏有《清明上河图》《千里江山图》等国宝。作为世界文化遗产和世界五大宫之首，是中国最大的古代文化艺术博物馆。,基于权威资料生成，含历史背景、收藏特色、地位影响
上海博物馆,博物馆,国内-上海,中国最大的综合性博物馆,11,上海博物馆创建于1952年，1996年人民广场新馆开放。馆藏约102万件（套），以青铜、陶瓷、书画三大门类最为突出，藏有西周大克鼎、晋侯稣钟等稀世珍品。被誉为中国古代艺术收藏重镇，是中国四大博物馆之一，在国际上享有盛誉。,基于权威资料生成，含历史背景、收藏特色、地位影响
陕西历史博物馆,博物馆,国内-陕西,中国第一座大型现代化博物馆,13,陕西历史博物馆筹建于1950年代，1991年正式开放，是中国第一座大型现代化国家级博物馆。馆藏37万余件（套），以商周青铜器、秦汉唐文物最具代表性，藏有唐三彩骆驼俑、兽首玛瑙杯等珍品。集中展示中华文明'黄金时代'的核心窗口，在国际博物馆界地位重要。,基于权威资料生成，含历史背景、收藏特色、地位影响
河南博物院,博物馆,国内-河南,中国最早创建的博物馆之一,12,河南博物院发轫于1927年，1998年郑州新馆开放。馆藏约17.8万件（套），以史前文物、商周青铜器、历代陶瓷及石刻最具特色，藏有贾湖骨笛、莲鹤方壶等镇馆之宝。作为中华文明核心区的重要代表，被誉为见证中华文明发展轨迹的文化艺术宝库。,基于权威资料生成，含历史背景、收藏特色、地位影响
湖北省博物馆,博物馆,国内-湖北,湖北省最大的综合性博物馆,12,湖北省博物馆成立于1953年，2007年武昌东湖之滨新馆开放。馆藏24万余件（套），以楚文化和曾侯乙墓文物最为著名，藏有曾侯乙编钟、越王勾践剑等国宝级文物。是楚文化收藏与研究中心，以音乐考古成果享誉世界，曾侯乙编钟被誉为世界第八大奇迹。,基于权威资料生成，含历史背景、收藏特色、地位影响
浙江省博物馆,博物馆,国内-浙江,浙江省最大的综合性博物馆,12,浙江省博物馆始建于1929年，前身为浙江省立西湖博物馆，2004年西湖孤山南麓新馆开放。馆藏约10万余件（套），以良渚文化玉器、越国青铜器、南宋官窑瓷器见长。作为江南文化的重要展示窗口，在海内外具有较高知名度和影响力。,基于权威资料生成，含历史背景、收藏特色、地位影响
天津博物馆,博物馆,国内-天津,天津市最大的综合性博物馆,12,天津博物馆前身可追溯至1918年天津博物院筹备处，2012年文化中心新馆开放。馆藏约20万件（套），以古代青铜器、陶瓷、玉器、书画为特色，藏有西周太保鼎、《雪景寒林图》等珍品。是中国北方重要的综合性博物馆之一，在近代博物馆发展史上具有代表性地位。,基于权威资料生成，含历史背景、收藏特色、地位影响
山西博物院,博物馆,国内-山西,山西省最大的综合性博物馆,12,山西博物院成立于1919年，前身为山西教育图书博物馆，2005年太原汾河畔新馆开放。馆藏约40万件（套），以夏商周晋国青铜器、北朝至明清佛教造像最为代表性，藏有鸟尊、龙形觥等珍品。系统展示晋文化与三晋文明的重要平台，在中国北方考古领域地位突出。,基于权威资料生成，含历史背景、收藏特色、地位影响
内蒙古博物院,博物馆,国内-内蒙古,内蒙古自治区最大的博物馆,12,内蒙古博物院成立于1957年，2007年呼和浩特新馆开放，是自治区最大综合性博物馆。馆藏约15万件（套），以北方民族文物、草原丝绸之路文物、恐龙化石为特色，藏有辽代陈国公主墓出土文物等。展示中国北方民族与草原文明的重要窗口，在民族学领域具有独特地位。,基于权威资料生成，含历史背景、收藏特色、地位影响
黑龙江省博物馆,博物馆,国内-黑龙江,黑龙江省最大的博物馆,10,黑龙江省博物馆历史可追溯至1904年，是中国最早博物馆之一，2015年太阳岛新馆开放。馆藏约11万件（套），以黑龙江流域考古文物、辽金文物、抗联文物和猛犸象化石为特色。展示东北边疆历史、自然与民族文化的重要综合性博物馆，具有独特地缘价值。,基于权威资料生成，含历史背景、收藏特色、地位影响
